User,Tweet_Count
navydocdro,5
jeremyleewhite,5
ximplosionx,5
putajerseyon,5
LSNorwich,5
peterbarth,5
140JustinC,5
qlyss8,5
Nic_Thoman23,5
j_beatz247,5
MeganAurea,5
christinerimay,5
WillBursch,5
AlessandroDToro,5
dallendoug,5
LedPinkCloudz,5
crsmoore,5
CoachMcRoberts,5
kayliemj,5
masonkesner,5
bluefig,5
Bill_Faulk,5
chocolossus,5
thelyandre,5
CatieKriewald,5
sick_beat_swift,5
Jaytolchinsky,5
AndrewMcDublin,5
1JENSABA,5
jkentakula,5
duendecillita,5
kristenlc,5
elwoodblues77,5
ZachAlpert,5
amymiller305,5
themainevent001,5
0504Traveller,5
brian_cristiano,5
DarthVada_R2D2,5
Analystdoc,5
Kbaiocchi,5
RobBogart,5
MaxAbrahms,5
mypumpkinheads,5
PeterPiatetsky,5
komal102,5
TravelingProf,5
ChrisPinTX,5
61jr,5
steve_muns,5
sylvie75015,5
miaerolinea,5
ScottBerry18,5
MeereeneseKnot,5
CraigHall19701,5
meigheyburn,5
greghm88,5
Charlie_Mich,5
reebokpumped,5
rambinasaurus,5
faisal_tayebjee,5
MommyPR,5
JaJillian,5
blastedgtl,5
rakugojon,5
duhhhLilah,5
kathyjazztx,5
MatthewJMedlin,5
WTFloris,5
AdamJBerry,5
beachluvr104,5
sweetmel,5
Tom_Constantin,5
kidchorusteach,5
jasonpblakey,5
tmarsh83,5
jessbutl,5
Z_J_M_,5
CharlieGMoney,5
danahajek,5
shivadelrahim,5
worldknits,5
jddowsett,5
Csqd,5
SchrierCar,5
czamkoff,5
LMSNaomi,5
CakeNDeath,5
OthalieGraham,5
brianaverna,5
mosesfreund,5
mwasserman818,5
TheBigEasy5889,5
andreawalls21,5
cjdjpdx,5
jameswester,5
McKennon,5
canolibean,5
FIETA_DOC,5
BenHabbel,5
traceyabbywhite,5
VikingJim60,5
GreenkidspenWRA,5
ScribblersNook,5
andreamvdlg,5
rholbrook,5
tjny753,5
ClinicPolly,5
LRuns4Cupcakes,5
kreespa,5
BillChurchMedia,5
Rowe0neTen,5
contimike,5
lindseyjerin,5
pseudomachine,5
Nikki62878,5
rcwhalen,5
ChrisDonahoe,5
smw04,5
jackburke,5
KTrerotola,5
TheLoveBite,5
mybadtequila,4
StephanSDalal,4
no_patients,4
_Charette_,4
Robin_Downing,4
xVanDanx,4
scheds14,4
StarkJedi,4
rosenrj,4
jessouc,4
marianela_mt,4
Kaywillsmith,4
ElizabethFrayer,4
peterfransson,4
mrp,4
mmanny,4
jsgerson,4
sirmunchie,4
krystlemark,4
DT_Les,4
Mtts28,4
dahriowonder,4
swood40,4
_JoeChuck,4
DanielPaulEller,4
LukeWyckoff,4
zachupton,4
slippysam,4
tpensari,4
bekiweki,4
rayja9,4
scm1133,4
erina_jones,4
hannahcbeck,4
annnnge,4
RyScanlon,4
gotomaio,4
Princessk91,4
Hayden_Ehlich,4
GMFujarski,4
GinaMarie_F,4
rodeorose1962,4
DropMeAnywhere,4
Mwoodshop,4
Kris_KAS,4
jakenemmasmom,4
MaxwellAMooney,4
iamlisa222,4
JoeSchmuck,4
kdtate,4
219jondn,4
mgmcg16,4
NickWellen,4
KBStrauss,4
rqualls,4
FMLBROOKLYN,4
teammccabe,4
RealMaryAgnes,4
philpete,4
Crimson_Zombie,4
Shivener,4
goodenufmother,4
harris,4
Amrutafrika,4
tjelke,4
cwalshnews,4
susqhb,4
tspinnersbride,4
spaceracedjs,4
ralonG2013,4
NYC_Allie,4
TimBouhour,4
liveitup09,4
mellamommy,4
JayVig,4
penyu1818,4
